Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1981-01-02,0.11795727908611298,0.11881199227662492,0.11795727908611298,0.11795727908611298,21660800
1981-01-05,0.11539319902658463,0.11582054434540284,0.11539319902658463,0.11582054434540284,35728000
1981-01-06,0.1102641299366951,0.11069148648753659,0.11026412993669511,0.11069148648753659,45158400
1981-01-07,0.10556330531835556,0.10599066212506873,0.10556330531835556,0.10599066212506873,55686400
1981-01-08,0.10342653095722198,0.10385387629728106,0.103426530957222,0.10385387629728106,39827200
1981-01-09,0.10898211598396301,0.10940947270847111,0.10898211598396301,0.10898211598396301,21504000
1981-01-12,0.1081274226307869,0.10898212473613407,0.1081274226307869,0.10898212473613407,23699200
1981-01-13,0.1042812168598175,0.10470857354583821,0.1042812168598175,0.10470857354583821,23049600
1981-01-14,0.10470859706401825,0.10513595384602585,0.10470859706401825,0.10470859706401825,14291200
1981-01-15,0.10684538632631302,0.10770008861212496,0.10684538632631302,0.10684538632631302,14067200
1981-01-16,0.10599065572023392,0.10641801250112265,0.10599065572023392,0.10641801250112265,13395200
1981-01-19,0.11240090429782867,0.11282826086014949,0.11240090429782867,0.11240090429782867,41574400
1981-01-20,0.10898211598396301,0.10940947270847111,0.10898211598396301,0.10940947270847111,30083200
1981-01-21,0.11111891269683838,0.11197361492201481,0.11111891269683838,0.11111891269683838,15904000
1981-01-22,0.11240090429782867,0.1132556174224703,0.11240090429782867,0.11240090429782867,35548800
1981-01-23,0.11197363585233688,0.11282834964958925,0.11197363585233688,0.11240099275096306,11222400
1981-01-26,0.1102641299366951,0.11069148648753659,0.11026412993669511,0.11069148648753659,24640000
1981-01-27,0.10940942913293839,0.1102641308292357,0.10940942913293839,0.1102641308292357,23699200
1981-01-28,0.10599065572023392,0.10641801250112265,0.10599065572023392,0.10641801250112265,28156800
1981-01-29,0.10214445739984512,0.10257181413840583,0.10214445739984512,0.10257181413840583,43904000
1981-01-30,0.09658808261156082,0.09744279602851562,0.09658808261156082,0.09744279602851562,46188800
1981-02-02,0.091032475233078,0.09145982616114613,0.091032475233078,0.09145982616114613,23766400
1981-02-03,0.09445128589868546,0.09487863673814656,0.09445128589868546,0.09445128589868546,19152000
1981-02-04,0.09787014871835709,0.09829749399697901,0.09787014871835709,0.09787014871835709,27865600
1981-02-05,0.09787014871835709,0.09872485068790875,0.09787014871835709,0.09787014871835709,7929600
1981-02-06,0.09829747676849365,0.0987248333845211,0.09829747676849365,0.09829747676849365,13865600
1981-02-09,0.09316923469305038,0.0940239421948605,0.09316923469305038,0.0940239421948605,16755200
1981-02-10,0.09316923469305038,0.09359659129703182,0.09316923469305038,0.09316923469305038,18345600
1981-02-11,0.09017776697874069,0.09060511790352921,0.09017776697874069,0.09060511790352921,13843200
1981-02-12,0.08932230621576309,0.0897504275532938,0.08932230621576309,0.0897504275532938,14560000
1981-02-13,0.08718554675579071,0.0880402545438566,0.08718554675579071,0.0880402545438566,11155200
1981-02-17,0.08932230621576309,0.0897504275532938,0.08932230621576309,0.08932230621576309,12275200
1981-02-18,0.09316923469305038,0.0940239421948605,0.09316923469305038,0.09316923469305038,19241600
1981-02-19,0.08761291950941086,0.08804027636243081,0.08761291950941086,0.08804027636243081,22310400
1981-02-20,0.08291199058294296,0.08333934724123096,0.08291199058294296,0.08333934724123096,24371200
1981-02-23,0.08419409394264221,0.08462145082831393,0.08419409394264221,0.08419409394264221,14112000
1981-02-24,0.08120259642601013,0.08205730425814343,0.08120259642601013,0.08205730425814343,16979200
1981-02-25,0.08633081614971161,0.08675816707771451,0.08633081614971161,0.08633081614971161,19488000
1981-02-26,0.08761291950941086,0.08804027636243081,0.08761291950941086,0.08761291950941086,10841600
1981-02-27,0.09060514718294144,0.0914598550148738,0.09060514718294144,0.09060514718294144,14761600
1981-03-02,0.091032475233078,0.09145982616114613,0.091032475233078,0.091032475233078,11760000
1981-03-03,0.08975040167570114,0.0901777582653496,0.08975040167570114,0.0901777582653496,16172800
1981-03-04,0.08889497816562653,0.08932232928270062,0.08889497816562653,0.08932232928270062,13708800
1981-03-05,0.08846759796142578,0.08889495467171007,0.08846759796142578,0.08889495467171007,5376000
1981-03-06,0.08761291950941086,0.08846762750929467,0.08761291950941086,0.08846762750929467,11603200
1981-03-09,0.08077523112297058,0.08120258211062108,0.08077523112297058,0.08120258211062108,15321600
1981-03-10,0.07692831009626389,0.07735566125622265,0.07692831009626389,0.07735566125622265,28380800
1981-03-11,0.073936827480793,0.0747915354875485,0.073936827480793,0.0747915354875485,29859200
1981-03-12,0.07692831009626389,0.07735566125622265,0.07692831009626389,0.07692831009626389,59248000
1981-03-13,0.07607356458902359,0.07650091553842811,0.07607356458902359,0.07650091553842811,231302400
1981-03-16,0.07906583696603775,0.07992054487673095,0.07906583696603775,0.07906583696603775,37228800
1981-03-17,0.08291199058294296,0.08376669819336548,0.08291199058294296,0.08291199058294296,43747200
1981-03-18,0.08804025501012802,0.08889496280272054,0.08804025501012802,0.08804025501012802,36937600
1981-03-19,0.08718554675579071,0.08761289779674633,0.08718554675579071,0.08761289779674633,37811200
1981-03-20,0.08804025501012802,0.08889496280272054,0.08804025501012802,0.08804025501012802,14604800
1981-03-23,0.09145985543727875,0.09231456327315857,0.09145985543727875,0.09145985543727875,22019200
1981-03-24,0.091032475233078,0.09145982616114613,0.091032475233078,0.09145982616114613,28156800
1981-03-25,0.08932230621576309,0.09017778426616131,0.08932230621576309,0.09017778426616131,7056000
1981-03-26,0.08761291950941086,0.08804027636243081,0.08761291950941086,0.08804027636243081,12275200
1981-03-27,0.08462139964103699,0.08504875056204868,0.08462139964103699,0.08504875056204868,12252800
1981-03-30,0.08462139964103699,0.08547610718921343,0.08462139964103699,0.08462139964103699,9900800
1981-03-31,0.08376672118902206,0.08462142903407914,0.08376672118902206,0.08462142903407914,15993600
1981-04-01,0.08291199058294296,0.08333934724123096,0.08291199058294296,0.08333934724123096,34070400
1981-04-02,0.09017776697874069,0.09060511790352921,0.09017776697874069,0.09017776697874069,31404800
1981-04-03,0.09060514718294144,0.0910325039519851,0.09060514718294144,0.09060514718294144,16486400
1981-04-06,0.08889497816562653,0.08932232928270062,0.08889497816562653,0.08932232928270062,22803200
1981-04-07,0.08804025501012802,0.08846760605334693,0.08804025501012802,0.08846760605334693,10684800
1981-04-08,0.09231453388929367,0.0931692414531187,0.09231453388929367,0.09231453388929367,21952000
1981-04-09,0.09402397274971008,0.09445132949256908,0.09402397274971008,0.09402397274971008,12499200
1981-04-10,0.09530603885650635,0.09573338990031506,0.09530603885650635,0.09530603885650635,33465600
1981-04-13,0.09530603885650635,0.09573338990031506,0.09530603885650635,0.09530603885650635,16060800
1981-04-14,0.09530603885650635,0.09573338990031506,0.09530603885650635,0.09530603885650635,6652800
1981-04-15,0.09060514718294144,0.0910325039519851,0.09060514718294144,0.0910325039519851,34048000
1981-04-16,0.08547614514827728,0.08590349625907115,0.08547614514827728,0.08590349625907115,23878400
1981-04-20,0.08804025501012802,0.08846760605334693,0.08804025501012802,0.08804025501012802,35347200
1981-04-21,0.09402397274971008,0.09445132949256908,0.09402397274971008,0.09402397274971008,28537600
1981-04-22,0.09744279086589813,0.09787014755173373,0.09744279086589813,0.09744279086589813,18995200
1981-04-23,0.10000688582658768,0.10043424241700237,0.10000688582658768,0.10000688582658768,58016000
1981-04-24,0.09915216267108917,0.10000686425525555,0.09915216267108917,0.10000686425525555,35056000
1981-04-27,0.09829747676849365,0.0987248333845211,0.09829747676849365,0.0987248333845211,38528000
1981-04-28,0.09658808261156082,0.09701543932003821,0.09658808261156082,0.09701543932003821,32188800
1981-04-29,0.09530603885650635,0.09573338990031506,0.09530603885650635,0.09573338990031506,13641600
1981-04-30,0.09701545536518097,0.09787016892349469,0.09701545536518097,0.09701545536518097,12611200
1981-05-01,0.09701545536518097,0.09787016892349469,0.09701545536518097,0.09701545536518097,16553600
1981-05-04,0.09658808261156082,0.09701543932003821,0.09658808261156082,0.09701543932003821,14448000
1981-05-05,0.09616073966026306,0.09658808496685295,0.09616073966026306,0.09658808496685295,17539200
1981-05-06,0.09359663724899292,0.0940239883566328,0.09359663724899292,0.0940239883566328,18950400
1981-05-07,0.09487869590520859,0.09530605271732456,0.09487869590520859,0.09487869590520859,9363200
1981-05-08,0.0957333892583847,0.09616074600548252,0.0957333892583847,0.0957333892583847,7907200
1981-05-11,0.09359663724899292,0.0940239883566328,0.09359663724899292,0.0940239883566328,11939200
1981-05-12,0.09359663724899292,0.0948786962780681,0.09359663724899292,0.09359663724899292,4256000
1981-05-13,0.09316923469305038,0.09445129879884194,0.09316923469305038,0.09359659129703182,4905600
1981-05-14,0.09188718348741531,0.09274189105614195,0.09188718348741531,0.09274189105614195,4928000
1981-05-15,0.09402397274971008,0.0953060372721325,0.09402397274971008,0.09402397274971008,4905600
1981-05-18,0.0957333892583847,0.09658809134027102,0.0957333892583847,0.0957333892583847,4166400
1981-05-19,0.09402397274971008,0.09445132949256908,0.09402397274971008,0.09445132949256908,25424000
1981-05-20,0.09701545536518097,0.09787016892349469,0.09701545536518097,0.09701545536518097,13283200
1981-05-21,0.10257178544998169,0.10299914206901452,0.10257178544998169,0.10257178544998169,32211200
1981-05-22,0.10727271437644958,0.10812742793604277,0.10727271437644958,0.10727271437644958,31427200
1981-05-26,0.10684538632631302,0.10727273176306296,0.10684538632631302,0.10727273176306296,85344000
1981-05-27,0.11282829195261002,0.11325564863269891,0.11282829195261002,0.11282829195261002,149497600
1981-05-28,0.11282829195261002,0.11325564863269891,0.11282829195261002,0.11282829195261002,73987200
